,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
50,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
51,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
52,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
53,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
54,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
55,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
56,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
57,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
58,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
59,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
60,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
61,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
62,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
63,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
64,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
65,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
66,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
67,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
68,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
69,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
70,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
71,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
72,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
73,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
74,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
75,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
76,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
77,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
78,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
79,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
80,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
81,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
82,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
83,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
84,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
85,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
86,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
87,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
88,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
89,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
90,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
91,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
92,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
93,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
94,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
95,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
96,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
97,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
98,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
99,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
000,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
001,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
002,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
003,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
004,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
005,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
006,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
007,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
008,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
009,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
010,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
011,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
012,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
013,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
014,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
015,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
016,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
017,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
018,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
019,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
020,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
021,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
022,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
023,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
024,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
025,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
026,-4.5,-1.0,-1.25,-7.25,-5.5,-6.0,-2.75,-7.75,-5.0,-5.75
