,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
28,-0.75,-1.5,-7.0,-8.0,-6.75,-5.25,-1.25,-7.75,-6.75,-7.75
29,-2.0,-4.5,-4.5,-7.75,-4.75,-3.0,-0.5,-7.0,-5.0,-8.0
30,-0.75,-2.75,-6.25,-5.75,-6.25,-5.0,-1.5,-6.75,-7.0,-7.5
31,-0.25,-2.5,-4.75,-7.0,-5.75,-4.0,-2.5,-7.5,-6.5,-8.25
32,-1.25,-1.5,-6.5,-8.5,-5.75,-3.0,-4.5,-8.0,-4.75,-9.0
33,-0.75,-2.0,-5.25,-5.25,-4.75,-4.75,-1.5,-7.5,-7.25,-8.5
34,-2.25,-1.25,-4.25,-7.25,-6.0,-2.25,-1.0,-8.0,-4.25,-8.75
35,-2.0,-2.0,-5.5,-6.25,-6.5,-3.25,-0.75,-6.5,-6.25,-7.75
36,-1.25,-2.25,-5.25,-8.0,-4.25,-2.5,-1.0,-7.0,-3.5,-8.0
37,-5.25,-4.75,-6.75,-7.75,-8.0,-5.25,-0.25,-9.25,-8.25,-10.5
38,-1.0,-1.25,-6.0,-7.5,-6.75,-4.0,-1.25,-8.25,-5.25,-9.0
39,-1.0,-2.25,-4.5,-5.75,-5.0,-3.25,-0.75,-7.5,-5.25,-8.5
40,-1.25,-3.75,-7.75,-6.25,-8.75,-6.0,-0.75,-8.75,-8.75,-10.0
41,-0.75,-3.0,-5.75,-8.0,-7.0,-4.75,-2.25,-8.5,-7.5,-9.75
42,-0.25,-2.5,-7.75,-9.75,-7.75,-4.0,-3.75,-5.75,-6.0,-8.75
43,-1.25,-2.75,-6.0,-6.5,-6.5,-4.0,-1.0,-8.0,-7.25,-9.0
44,-2.25,-3.5,-5.75,-7.25,-7.25,-3.5,-0.25,-9.25,-6.25,-10.25
45,-1.5,-3.25,-6.25,-5.75,-8.0,-3.25,-0.75,-7.0,-8.0,-8.5
46,-2.5,-4.0,-6.0,-8.75,-5.5,-4.25,-0.25,-7.5,-4.5,-9.75
47,-4.0,-2.0,-6.75,-5.5,-6.75,-4.5,-0.5,-7.75,-7.25,-10.25
48,-0.5,-1.75,-7.5,-6.25,-7.5,-4.5,-1.75,-7.75,-6.75,-8.5
49,-2.75,-5.25,-5.0,-5.75,-6.75,-3.25,-0.25,-8.0,-6.25,-10.25
50,-1.5,-4.25,-6.0,-5.5,-9.25,-4.75,-0.25,-6.5,-7.5,-9.75
51,-1.0,-4.0,-5.25,-6.5,-7.25,-3.25,-2.5,-6.5,-8.75,-10.0
52,-1.5,-2.25,-4.75,-5.5,-4.5,-1.5,-1.75,-6.25,-5.5,-8.25
53,-1.75,-3.75,-5.25,-5.75,-5.75,-2.25,-1.0,-6.5,-6.5,-8.75
54,-1.5,-3.25,-6.0,-6.0,-6.75,-2.0,-0.75,-6.75,-5.5,-7.75
55,-2.75,-4.75,-7.0,-6.0,-8.75,-3.0,-0.25,-7.0,-7.5,-9.5
56,-1.5,-3.5,-5.75,-7.0,-5.75,-2.75,-0.5,-5.75,-5.0,-8.75
57,-3.5,-4.75,-6.5,-5.5,-8.0,-3.0,-0.5,-7.25,-7.75,-10.0
58,-1.0,-3.75,-6.25,-6.75,-7.75,-3.75,-1.0,-7.5,-6.25,-8.75
59,-2.0,-4.5,-5.75,-6.0,-7.0,-3.75,-0.5,-7.0,-6.75,-9.5
60,-0.25,-3.5,-8.5,-6.75,-8.0,-4.75,-1.75,-6.75,-7.5,-8.25
61,-0.5,-3.75,-5.75,-7.5,-6.0,-4.0,-1.75,-7.0,-5.75,-8.5
62,-1.0,-2.5,-5.25,-7.0,-4.5,-2.5,-1.25,-6.25,-3.75,-7.25
63,-0.75,-2.75,-5.25,-6.0,-4.75,-3.0,-2.25,-6.0,-5.75,-7.5
64,-0.5,-2.75,-6.25,-5.75,-7.5,-3.5,-3.0,-7.25,-5.0,-9.0
65,-1.0,-3.0,-6.25,-6.75,-7.75,-2.0,-1.5,-5.75,-5.5,-8.5
66,-1.25,-3.0,-6.0,-6.5,-5.25,-3.0,-0.75,-6.0,-4.25,-8.25
67,-1.5,-3.5,-5.75,-5.25,-6.75,-3.75,-0.75,-6.0,-5.5,-8.5
68,-0.75,-3.25,-6.25,-6.0,-7.25,-3.25,-2.25,-6.0,-5.25,-7.75
69,-3.5,-3.25,-5.75,-6.25,-4.75,-4.0,-0.5,-7.0,-4.25,-8.25
70,-1.0,-3.75,-7.5,-4.5,-9.75,-7.0,-0.75,-7.5,-8.5,-9.5
71,-0.75,-2.5,-6.25,-5.0,-7.25,-5.75,-1.25,-7.5,-7.5,-8.75
72,-1.0,-1.75,-8.0,-6.75,-7.0,-5.25,-1.75,-7.25,-6.0,-8.5
73,-2.25,-2.75,-6.25,-3.75,-6.5,-4.75,-0.75,-6.25,-6.5,-8.25
74,-2.5,-2.5,-5.75,-6.0,-8.0,-3.75,-0.5,-8.0,-5.75,-9.75
75,-1.5,-1.5,-6.25,-4.5,-7.75,-4.25,-1.0,-6.5,-6.5,-8.0
76,-1.75,-2.0,-6.5,-5.0,-6.25,-3.75,-0.75,-7.25,-5.5,-9.5
77,-3.75,-3.0,-6.0,-4.0,-7.5,-4.25,-0.5,-8.0,-7.25,-10.0
78,-1.0,-2.5,-6.25,-5.25,-8.0,-4.25,-1.5,-8.5,-6.5,-9.75
79,-1.5,-4.0,-6.25,-5.25,-7.0,-4.5,-0.5,-8.5,-6.25,-9.75
80,-0.5,-4.0,-7.75,-6.25,-9.0,-6.75,-3.5,-8.75,-8.0,-9.0
81,-0.5,-4.0,-6.0,-5.5,-7.0,-4.5,-4.0,-8.25,-6.75,-8.5
82,-1.0,-3.5,-6.75,-6.0,-6.0,-4.25,-2.75,-8.0,-6.0,-8.0
83,-1.5,-3.25,-6.75,-6.0,-6.0,-4.0,-3.0,-8.0,-6.5,-7.5
84,-0.5,-2.25,-7.25,-6.25,-7.75,-4.0,-2.5,-8.25,-7.0,-8.25
85,-1.0,-3.75,-7.25,-6.25,-7.5,-4.25,-2.0,-8.0,-7.25,-7.5
86,-1.5,-3.0,-5.75,-6.5,-6.25,-3.5,-2.5,-8.0,-6.25,-8.5
87,-1.25,-3.75,-7.0,-5.75,-7.0,-4.25,-1.5,-8.0,-7.0,-7.25
88,-2.0,-2.0,-5.75,-8.75,-7.25,-4.75,-3.75,-8.5,-7.0,-8.75
89,-3.0,-5.75,-7.25,-7.5,-8.0,-5.5,-0.5,-9.0,-6.75,-9.25
90,-1.5,-4.0,-7.25,-5.75,-8.0,-5.75,-0.25,-7.75,-7.75,-8.25
91,-2.75,-5.25,-6.5,-8.25,-6.5,-5.5,-0.25,-8.5,-8.25,-9.5
92,-2.5,-2.75,-6.0,-6.75,-4.75,-4.25,-0.75,-7.5,-4.25,-8.0
93,-2.5,-3.25,-5.25,-5.25,-5.25,-4.0,-0.5,-6.5,-6.25,-7.75
94,-3.5,-3.75,-5.5,-7.0,-6.75,-3.75,-0.5,-8.5,-4.75,-9.0
95,-4.0,-3.75,-6.0,-6.25,-7.0,-4.5,-0.25,-7.25,-6.0,-9.25
96,-2.0,-2.0,-6.0,-6.75,-4.5,-2.75,-0.75,-6.5,-4.0,-7.25
97,-5.75,-4.0,-7.25,-6.25,-7.25,-4.0,-0.5,-7.75,-6.25,-9.5
98,-1.75,-2.25,-4.5,-7.0,-5.25,-2.75,-1.0,-6.75,-3.25,-8.25
99,-3.0,-4.75,-5.0,-6.5,-5.25,-3.25,-0.5,-6.5,-4.25,-9.0
000,-1.5,-2.0,-5.5,-6.0,-6.75,-4.25,-4.5,-6.5,-5.25,-8.0
001,-0.5,-1.75,-6.0,-7.25,-5.75,-5.25,-3.75,-7.25,-6.5,-9.0
002,-1.0,-0.75,-5.5,-6.5,-4.5,-4.25,-4.0,-6.75,-5.5,-9.25
003,-0.5,-1.75,-6.25,-6.25,-6.0,-4.5,-4.25,-7.25,-7.5,-8.75
004,-1.0,-1.25,-5.0,-5.5,-6.0,-3.75,-3.25,-8.0,-6.25,-8.75
005,-1.25,-1.25,-5.0,-5.5,-6.25,-2.75,-3.25,-6.0,-6.75,-9.25
